name,cik,manager,category
Whale Rock Capital,0001387322,Alex Sacerdote,그로스
Caxton Associates,0002051323,Andrew Law,매크로
Nightview Capital,0001680843,Arne Alsin,그로스
Pershing Square,0002026053,Bill Ackman,액티비스트
Gates Foundation Trust,0001166559,Bill Gates,기관
Robotti & Co,0001105838,Bob Robotti,가치투자
Altimeter Capital,0001541617,Brad Gerstner,그로스
Fairholme Capital,0001056831,Bruce Berkowitz,가치투자
Icahn Enterprises,0000921669,Carl Icahn,액티비스트
ARK Investment Management,0001697748,Cathie Wood,그로스
Tiger Global Management,0001167483,Chase Coleman,그로스
TCI Fund Management,0001647251,Chris Hohn,액티비스트
Semper Augustus,0001115373,Christopher Bloomstran,가치투자
CAS Investment Partners,0001697591,Clifford Sosin,롱숏
QVT Financial,0001290162,Dan Gold,멀티전략
Third Point,0001040273,Daniel Loeb,액티비스트
D1 Capital Partners,0001747057,Daniel Sundheim,그로스
DME Capital Management,0001489933,David Einhorn,롱숏
Slate Path Capital,0001559706,David Greenspan,롱숏
D. E. Shaw,0001009207,David Shaw,퀀트
Appaloosa,0001656456,David Tepper,크레딧/디스트레스
Valley Forge Capital,0001697868,Dev Kantesaria,그로스
Donald Smith & Co,0000814375,Donald Smith,가치투자
Silver Point Capital,0001332784,Edward Mule,크레딧/디스트레스
Giverny Capital,0001641864,Francois Rochon,가치투자
Atreides Management,0001777813,Gavin Baker,그로스
Soros Fund Management,0001029160,George Soros,매크로
Light Street Capital,0001569049,Glen Kacher,그로스
Strategy Capital,0001592413,Hamilton Helmer,그로스
NWI Management,0001103887,Hari Hariharan,매크로
Millennium Management,0001273087,Israel Englander,멀티전략
Grantham Mayo Van Otterloo,0001352662,Jeremy Grantham,가치투자
Renaissance Technologies,0001037389,Jim Simons,퀀트
Gotham Asset Management,0001510387,Joel Greenblatt,퀀트
Redwood Capital Management,0001316622,Jonathan Kolatch,크레딧/디스트레스
Thrive Capital,0001765681,Josh Kushner,그로스
Jericho Capital,0001525234,Josh Resnick,그로스
Baker Bros Advisors,0001263508,Julian & Felix Baker,롱숏
Fisher Asset Management,0000850529,Ken Fisher,기관
Citadel Advisors,0001423053,Ken Griffin,멀티전략
Situational Awareness,0002045724,Leopold Aschenbrenner,그로스
Himalaya Capital,0001709323,Li Lu,가치투자
Prime Capital Management,0001448793,Liu Yijun,그로스
Kensico Capital Management,0001113000,Michael Lowenstein,롱숏
Alpine Fox Capital,0002096493,Mike Alfred,그로스
Dalal Street,0001549575,Mohnish Pabrai,가치투자
Horizon Kinetics,0001056823,Murray Stahl,가치투자
Mangrove Partners,0001535392,Nathaniel August,액티비스트
Ratan Capital Management,0001566887,Nehal Chopra,액티비스트
Greenoaks Capital Partners,0001840735,Patrick Backhouse,그로스
Arbiter Partners Capital Management,0001513193,Paul Isaac,가치투자
Elliott Investment Management,0001791786,Paul Singer,액티비스트
Tudor Investment,0000923093,Paul Tudor Jones,매크로
Coatue Management,0001135730,Philippe Laffont,그로스
Symmetry Peak Management,0001389234,Quint Slattery,롱숏
Octahedron Capital,0001891904,Ram Parameswaran,그로스
Bridgewater Associates,0001350694,Ray Dalio,매크로
Acuta Capital Partners,0001582844,Richard Lin,롱숏
Eminence Capital,0001107310,Ricky Sandler,롱숏
RV Capital AG,0001766596,Rob Vinall,가치투자
Discovery Capital,0001389507,Robert Citrone,매크로
RR Advisors,0001322613,Robert Raymond,가치투자
Baupost Group,0001061768,Seth Klarman,가치투자
Shannon River Fund,0001301050,Spencer Waxman,롱숏
Duquesne Family Office,0001536411,Stanley Druckenmiller,매크로
Point72 Asset Management,0001603466,Steven Cohen,멀티전략
Markel Group,0001096343,Tom Gayner,가치투자
Berkshire Hathaway,0001067983,Warren Buffett,가치투자
Peconic Partners,0001050464,William Harnisch,롱숏
OAKTREE CAPITAL MANAGEMENT LP,0000949509,Howard Marks,크레딧/디스트레스
AQR CAPITAL MANAGEMENT LLC,0001167557,Cliff Asness,퀀트
"TWO SIGMA INVESTMENTS, LP",0001179392,David Siegel,퀀트
Susquehanna International Group,0001446194,Jeff Yass,퀀트
"GAMCO INVESTORS, INC. ET AL",0000807249,Mario Gabelli,가치투자
Moore Capital Management,0001448574,Louis Bacon,매크로
"First Eagle Investment Management, LLC",0001325447,Matthew McLennan,가치투자
"FARALLON CAPITAL MANAGEMENT, L.L.C.",0000909661,Andrew Spokes,롱숏
"GLENVIEW CAPITAL MANAGEMENT, LLC",0001138995,Larry Robbins,롱숏
"BRANDES INVESTMENT PARTNERS, LP",0001015079,Charles Brandes,가치투자
DAVIS SELECTED ADVISERS,0001036325,Chris Davis,가치투자
Corvex Management LP,0001535472,Keith Meister,액티비스트
"ADAGE CAPITAL PARTNERS GP, L.L.C.",0001165408,Phill Gross,롱숏
Fundsmith,0001569205,Terry Smith,그로스
Harris Associates,0000813917,Bill Nygren,가치투자
Southeastern Asset Management,0000807985,Mason Hawkins,가치투자
Viking Global Investors,0001103804,Andreas Halvorsen,그로스
Lone Pine Capital,0001061165,Stephen Mandel,그로스
Akre Capital Management,0001112520,Chuck Akre,그로스
HHLR Advisors,0001762304,Zhang Lei,그로스
Trian Fund Management,0001345471,Nelson Peltz,액티비스트
ValueAct Holdings,0001418814,Mason Morfit,액티비스트
Starboard Value,0001517137,Jeff Smith,액티비스트
Maverick Capital,0000934639,Lee Ainslie,롱숏
JANA Partners,0001998597,Barry Rosenstein,액티비스트
Egerton Capital,0001581811,John Armitage,롱숏
Marshall Wace,0001318757,Paul Marshall,퀀트
Pzena Investment Management,0001027796,Richard Pzena,가치투자
"Owl Creek Asset Management, L.P.",0001313756,Jeffrey Altman,크레딧/디스트레스
BlackRock,0002012383,Larry Fink,기관
Schonfeld Strategic Advisors,0001665241,Steven Schonfeld,멀티전략
