ticker,name,exchange,sector,cap_eok,type
MMM,3M,US,Industrials,929500,stock
AOS,A. O. Smith,US,Industrials,71500,stock
ABT,Abbott Laboratories,US,Health Care,1930500,stock
ABBV,AbbVie,US,Health Care,4647500,stock
ACN,Accenture,US,Information Technology,1072500,stock
ADBE,Adobe Inc.,US,Information Technology,1072500,stock
AMD,Advanced Micro Devices,US,Information Technology,7936500,stock
AES,AES Corporation,US,Utilities,143000,stock
AFL,Aflac,US,Financials,715000,stock
A,Agilent Technologies,US,Health Care,429000,stock
APD,Air Products,US,Materials,715000,stock
ABNB,Airbnb,US,Consumer Discretionary,929500,stock
AKAM,Akamai Technologies,US,Information Technology,214500,stock
ALB,Albemarle Corporation,US,Materials,143000,stock
ARE,Alexandria Real Estate Equities,US,Real Estate,71500,stock
ALGN,Align Technology,US,Health Care,143000,stock
ALLE,Allegion,US,Industrials,143000,stock
LNT,Alliant Energy,US,Utilities,214500,stock
ALL,Allstate,US,Financials,715000,stock
GOOGL,Alphabet Inc. (Class A),US,Communication Services,23881000,stock
GOOG,Alphabet Inc. (Class C),US,Communication Services,22522500,stock
MO,Altria,US,Consumer Staples,1215500,stock
AMZN,Amazon,US,Consumer Discretionary,31174000,stock
AMCR,Amcor,US,Materials,214500,stock
AEE,Ameren,US,Utilities,286000,stock
AEP,American Electric Power,US,Utilities,715000,stock
AXP,American Express,US,Financials,2431000,stock
AIG,American International Group,US,Financials,429000,stock
AMT,American Tower,US,Real Estate,858000,stock
AWK,American Water Works,US,Utilities,286000,stock
AMP,Ameriprise Financial,US,Financials,500500,stock
AME,Ametek,US,Industrials,572000,stock
AMGN,Amgen,US,Health Care,2216500,stock
APH,Amphenol,US,Information Technology,2073500,stock
ADI,Analog Devices,US,Information Technology,1859000,stock
AON,Aon plc,US,Financials,786500,stock
APA,APA Corporation,US,Energy,143000,stock
APO,Apollo Global Management,US,Financials,786500,stock
AAPL,Apple Inc.,US,Information Technology,47690500,stock
AMAT,Applied Materials,US,Information Technology,4147000,stock
APP,AppLovin,US,Information Technology,1430000,stock
APTV,Aptiv,US,Consumer Discretionary,143000,stock
ACGL,Arch Capital Group,US,Financials,357500,stock
ADM,Archer Daniels Midland,US,Consumer Staples,429000,stock
ARES,Ares Management,US,Financials,286000,stock
ANET,Arista Networks,US,Information Technology,2288000,stock
AJG,Arthur J. Gallagher & Co.,US,Financials,643500,stock
AIZ,Assurant,US,Financials,143000,stock
T,AT&T,US,Communication Services,1644500,stock
ATO,Atmos Energy,US,Utilities,286000,stock
ADSK,Autodesk,US,Information Technology,500500,stock
ADP,Automatic Data Processing,US,Industrials,1144000,stock
AZO,AutoZone,US,Consumer Discretionary,500500,stock
AVB,AvalonBay Communities,US,Real Estate,286000,stock
AVY,Avery Dennison,US,Materials,143000,stock
AXON,Axon Enterprise,US,Industrials,429000,stock
BKR,Baker Hughes,US,Energy,643500,stock
BALL,Ball Corporation,US,Materials,214500,stock
BAC,Bank of America,US,Financials,4576000,stock
BAX,Baxter International,US,Health Care,143000,stock
BDX,Becton Dickinson,US,Health Care,500500,stock
BRK-B,Berkshire Hathaway,US,Financials,11583000,stock
BBY,Best Buy,US,Consumer Discretionary,214500,stock
TECH,Bio-Techne,US,Health Care,143000,stock
BIIB,Biogen,US,Health Care,286000,stock
BLK,BlackRock,US,Financials,1787500,stock
BX,Blackstone Inc.,US,Financials,1072500,stock
XYZ,"Block, Inc.",US,Financials,500500,stock
BNY,BNY Mellon,US,Financials,1144000,stock
BA,Boeing,US,Industrials,1787500,stock
